excl_a,excl_b,r,p,n
ES,NO,-0.7978264944202424,0.001082737116068968,13
DE,NO,-0.7956669576574352,0.001142788527634827,13
AT,NO,-0.7951118453934246,0.0011586393717142362,13
DK,NO,-0.7919720242212867,0.0012515738738968559,13
NL,NO,-0.7906638796342482,0.0012919759090883431,13
NO,SE,-0.7894325805034602,0.0013309323542376739,13
NO,PT,-0.7885752869795116,0.001358595264546128,13
CH,NO,-0.7856185753377817,0.001457476197348947,13
BE,NO,-0.7806045588217727,0.0016379604446869777,13
GB,IT,-0.7619634554235409,0.0024671935275825813,13
IT,NO,-0.7586619043491016,0.0026430225851409995,13
GB,NO,-0.7003414591701504,0.007679695803251828,13
