estimator,excluded,r,type,excluded_pair
B_BLUPs_random_slopes_with_controls,,-0.7956669576574352,loo2,DE+NO
B_BLUPs_random_slopes_with_controls,,-0.8533485901667339,loo2,DE+PT
B_BLUPs_random_slopes_with_controls,,-0.8575172610432434,loo2,DE+SE
B_BLUPs_random_slopes_with_controls,,-0.8582466856109545,loo2,DK+ES
B_BLUPs_random_slopes_with_controls,,-0.8829696070181037,loo2,DK+FI
B_BLUPs_random_slopes_with_controls,,-0.8971459647996813,loo2,DK+FR
B_BLUPs_random_slopes_with_controls,,-0.804102182727378,loo2,DK+GB
B_BLUPs_random_slopes_with_controls,,-0.8703588326526894,loo2,DK+IE
B_BLUPs_random_slopes_with_controls,,-0.8334676781658312,loo2,DK+IT
B_BLUPs_random_slopes_with_controls,,-0.8592193693767416,loo2,DK+NL
B_BLUPs_random_slopes_with_controls,,-0.7919720242212869,loo2,DK+NO
B_BLUPs_random_slopes_with_controls,,-0.8503394702199771,loo2,DK+PT
B_BLUPs_random_slopes_with_controls,,-0.8549426901757516,loo2,DK+SE
B_BLUPs_random_slopes_with_controls,,-0.8899102394924762,loo2,ES+FI
B_BLUPs_random_slopes_with_controls,,-0.8998390816715014,loo2,ES+FR
B_BLUPs_random_slopes_with_controls,,-0.8137776256050189,loo2,ES+GB
B_BLUPs_random_slopes_with_controls,,-0.8743216177721006,loo2,ES+IE
B_BLUPs_random_slopes_with_controls,,-0.8410393752585615,loo2,ES+IT
B_BLUPs_random_slopes_with_controls,,-0.8658810595439933,loo2,ES+NL
B_BLUPs_random_slopes_with_controls,,-0.7978264944202427,loo2,ES+NO
B_BLUPs_random_slopes_with_controls,,-0.8563355497370098,loo2,ES+PT
B_BLUPs_random_slopes_with_controls,,-0.8594052910938609,loo2,ES+SE
B_BLUPs_random_slopes_with_controls,,-0.9224062180366693,loo2,FI+FR
B_BLUPs_random_slopes_with_controls,,-0.8460739641490115,loo2,FI+GB
B_BLUPs_random_slopes_with_controls,,-0.8976660450436452,loo2,FI+IE
B_BLUPs_random_slopes_with_controls,,-0.8695511414215275,loo2,FI+IT
B_BLUPs_random_slopes_with_controls,,-0.895924553992511,loo2,FI+NL
B_BLUPs_random_slopes_with_controls,,-0.8358219192051468,loo2,FI+NO
B_BLUPs_random_slopes_with_controls,,-0.8820422351802215,loo2,FI+PT
B_BLUPs_random_slopes_with_controls,,-0.8837642946604731,loo2,FI+SE
B_BLUPs_random_slopes_with_controls,,-0.8627693820455719,loo2,FR+GB
B_BLUPs_random_slopes_with_controls,,-0.9188962100936795,loo2,FR+IE
B_BLUPs_random_slopes_with_controls,,-0.8829906997149864,loo2,FR+IT
B_BLUPs_random_slopes_with_controls,,-0.9017870369292807,loo2,FR+NL
B_BLUPs_random_slopes_with_controls,,-0.8489713122846857,loo2,FR+NO
B_BLUPs_random_slopes_with_controls,,-0.8946296795056461,loo2,FR+PT
B_BLUPs_random_slopes_with_controls,,-0.8997436101650818,loo2,FR+SE
B_BLUPs_random_slopes_with_controls,,-0.8255194891176226,loo2,GB+IE
B_BLUPs_random_slopes_with_controls,,-0.761963455423541,loo2,GB+IT
B_BLUPs_random_slopes_with_controls,,-0.8128431508958823,loo2,GB+NL
B_BLUPs_random_slopes_with_controls,,-0.7003414591701507,loo2,GB+NO
B_BLUPs_random_slopes_with_controls,,-0.7982236994071766,loo2,GB+PT
B_BLUPs_random_slopes_with_controls,,-0.8093876571585478,loo2,GB+SE
B_BLUPs_random_slopes_with_controls,,-0.8517016690200263,loo2,IE+IT
B_BLUPs_random_slopes_with_controls,,-0.8765805604393868,loo2,IE+NL
B_BLUPs_random_slopes_with_controls,,-0.8157869019779993,loo2,IE+NO
B_BLUPs_random_slopes_with_controls,,-0.8672973477469366,loo2,IE+PT
B_BLUPs_random_slopes_with_controls,,-0.8727884547815592,loo2,IE+SE
B_BLUPs_random_slopes_with_controls,,-0.8415049980449667,loo2,IT+NL
B_BLUPs_random_slopes_with_controls,,-0.7586619043491015,loo2,IT+NO
B_BLUPs_random_slopes_with_controls,,-0.8298283281568792,loo2,IT+PT
B_BLUPs_random_slopes_with_controls,,-0.8368760199027645,loo2,IT+SE
B_BLUPs_random_slopes_with_controls,,-0.7906638796342482,loo2,NL+NO
B_BLUPs_random_slopes_with_controls,,-0.857549413297363,loo2,NL+PT
B_BLUPs_random_slopes_with_controls,,-0.8590619056386026,loo2,NL+SE
B_BLUPs_random_slopes_with_controls,,-0.7885752869795116,loo2,NO+PT
B_BLUPs_random_slopes_with_controls,,-0.7894325805034601,loo2,NO+SE
B_BLUPs_random_slopes_with_controls,,-0.8525363401722434,loo2,PT+SE
D_inverse_variance_weighted,AT,-0.7506849435645415,loo1,
D_inverse_variance_weighted,BE,-0.7527325318645475,loo1,
D_inverse_variance_weighted,CH,-0.770647250865486,loo1,
D_inverse_variance_weighted,DE,-0.7309357668480818,loo1,
D_inverse_variance_weighted,DK,-0.75987304624729,loo1,
D_inverse_variance_weighted,ES,-0.752523156105246,loo1,
D_inverse_variance_weighted,FI,-0.7457977431154595,loo1,
D_inverse_variance_weighted,FR,-0.759023563370456,loo1,
D_inverse_variance_weighted,GB,-0.6865870632366297,loo1,
D_inverse_variance_weighted,IE,-0.7632177567215571,loo1,
D_inverse_variance_weighted,IT,-0.8679822224708571,loo1,
D_inverse_variance_weighted,NL,-0.74150192157561,loo1,
D_inverse_variance_weighted,NO,-0.6701336464718733,loo1,
D_inverse_variance_weighted,PT,-0.7445730609353756,loo1,
D_inverse_variance_weighted,SE,-0.7645524367414555,loo1,
D_inverse_variance_weighted,,-0.7514587120318231,loo2,AT+BE
D_inverse_variance_weighted,,-0.7692273905361393,loo2,AT+CH
D_inverse_variance_weighted,,-0.727388151527622,loo2,AT+DE
D_inverse_variance_weighted,,-0.7575686999675237,loo2,AT+DK
D_inverse_variance_weighted,,-0.7504499400145527,loo2,AT+ES
D_inverse_variance_weighted,,-0.7431071196575377,loo2,AT+FI
D_inverse_variance_weighted,,-0.7573119157985204,loo2,AT+FR
D_inverse_variance_weighted,,-0.681025602423901,loo2,AT+GB
D_inverse_variance_weighted,,-0.7610502734780581,loo2,AT+IE
D_inverse_variance_weighted,,-0.8669691571274676,loo2,AT+IT
D_inverse_variance_weighted,,-0.740325148627355,loo2,AT+NL
D_inverse_variance_weighted,,-0.6685725783254721,loo2,AT+NO
D_inverse_variance_weighted,,-0.7420561772392995,loo2,AT+PT
D_inverse_variance_weighted,,-0.7627551233803137,loo2,AT+SE
D_inverse_variance_weighted,,-0.7616997099990465,loo2,BE+CH
D_inverse_variance_weighted,,-0.7328704359352287,loo2,BE+DE
D_inverse_variance_weighted,,-0.7633925156221277,loo2,BE+DK
D_inverse_variance_weighted,,-0.7534682594675715,loo2,BE+ES
D_inverse_variance_weighted,,-0.7476936184804452,loo2,BE+FI
D_inverse_variance_weighted,,-0.7625509670591333,loo2,BE+FR
D_inverse_variance_weighted,,-0.6878394582282815,loo2,BE+GB
D_inverse_variance_weighted,,-0.7682915400002516,loo2,BE+IE
D_inverse_variance_weighted,,-0.8794203976510208,loo2,BE+IT
D_inverse_variance_weighted,,-0.722180153996885,loo2,BE+NL
D_inverse_variance_weighted,,-0.6454885690376901,loo2,BE+NO
D_inverse_variance_weighted,,-0.7455594762718356,loo2,BE+PT
D_inverse_variance_weighted,,-0.7698324008960808,loo2,BE+SE
D_inverse_variance_weighted,,-0.7523872015107498,loo2,CH+DE
D_inverse_variance_weighted,,-0.7791075266343278,loo2,CH+DK
D_inverse_variance_weighted,,-0.7705162616266592,loo2,CH+ES
D_inverse_variance_weighted,,-0.7654000402575908,loo2,CH+FI
D_inverse_variance_weighted,,-0.7745068575299342,loo2,CH+FR
D_inverse_variance_weighted,,-0.7095871856297423,loo2,CH+GB
D_inverse_variance_weighted,,-0.781156236041737,loo2,CH+IE
D_inverse_variance_weighted,,-0.9016522551004226,loo2,CH+IT
D_inverse_variance_weighted,,-0.7680965192184481,loo2,CH+NL
D_inverse_variance_weighted,,-0.6787692424374909,loo2,CH+NO
D_inverse_variance_weighted,,-0.7636030735942346,loo2,CH+PT
D_inverse_variance_weighted,,-0.7804481062548971,loo2,CH+SE
D_inverse_variance_weighted,,-0.7347579705252083,loo2,DE+DK
D_inverse_variance_weighted,,-0.7299440854860332,loo2,DE+ES
D_inverse_variance_weighted,,-0.7191372119122729,loo2,DE+FI
D_inverse_variance_weighted,,-0.7382698466846193,loo2,DE+FR
D_inverse_variance_weighted,,-0.6378947846241471,loo2,DE+GB
D_inverse_variance_weighted,,-0.7391543495995727,loo2,DE+IE
D_inverse_variance_weighted,,-0.8579174898900698,loo2,DE+IT
D_inverse_variance_weighted,,-0.7224885524135228,loo2,DE+NL
D_inverse_variance_weighted,,-0.6421151825438484,loo2,DE+NO
