cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,vote,prtvtat,prtvtaat,prtvtbat,prtvtbe,prtvtabe,prtvtbbe,prtvtcbe,prtvtbg,prtvtabg,prtvtbbg,prtvtcbg,prtvtch,prtvtach,prtvtbch,prtvtcch,prtvtdch,prtvtech,prtvtfch,prtvtcy,prtvtacy,prtvtcz,prtvtacz,prtvtbcz,prtvtccz,prtvtdcz,prtvde1,prtvade1,prtvbde1,prtvcde1,prtvdde1,prtvede1,prtvde2,prtvade2,prtvbde2,prtvcde2,prtvdde2,prtvede2,prtvtdk,prtvtadk,prtvtbdk,prtvtcdk,prtvtee,prtvtaee,prtvtbee,prtvtcee,prtvtdee,prtvteee,prtvtfee,prtvtes,prtvtaes,prtvtbes,prtvtces,prtvtdes,prtvtfi,prtvtafi,prtvtbfi,prtvtcfi,prtvtdfi,prtvtfr,prtvtafr,prtvtbfr,prtvtcfr,prtvtgb,prtvtagb,prtvtbgb,prtvtgr,prtvtagr,prtvtbgr,prtvtcgr,prtvthr,prtvthu,prtvtahu,prtvtbhu,prtvtchu,prtvtdhu,prtvtehu,prtvtie,prtvtaie,prtvtbie,prtvtil,prtvtail,prtvtbil,prtvtcil,prtvtis,prtvtais,prtvtbis,prtvtit,prtvtait,prtvtbit,prtvlt1,prtvalt1,prtvblt1,prtvlt2,prtvalt2,prtvblt2,prtvlt3,prtvalt3,prtvblt3,prtvtlu,prtvtnl,prtvtanl,prtvtbnl,prtvtcnl,prtvtdnl,prtvtenl,prtvtfnl,prtvtno,prtvtano,prtvtbno,prtvtpl,prtvtapl,prtvtbpl,prtvtcpl,prtvtdpl,prtvtpt,prtvtapt,prtvtbpt,prtvtcpt,prtvtru,prtvtaru,prtvtbru,prtvtcru,prtvtdru,prtvtse,prtvtase,prtvtbse,prtvtsi,prtvtasi,prtvtbsi,prtvtcsi,prtvtdsi,prtvtesi,prtvtsk,prtvtask,prtvtbsk,prtvtcsk,prtvttr,prtvtatr,prtvtua,prtvtaua,prtvtbua,prtvtcua,gndr,agea,edulvla,eisced,eduyrs,mnactic,emplrel,nacer1,nacer11,nacer2,tporgwk,iscoco,isco08,hinctnt,hinctnta,cregion,regunit,regionat,regionbe,regionbg,regionch,regioach,regioncy,regioncz,regioacz,regionde,regiondk,regioadk,regionee,regiones,regioaes,regionfi,regioafi,regionfr,regiongb,regiongr,regioagr,regionhr,regionhu,regionie,regioaie,regiobie,regionil,regionit,regionlu,regionnl,regionno,regionpl,regionpt,regioapt,regionru,regionse,regionsi,regionsk,regiontr,regionua
AT,ESS1-8e01,1.0,12.12.2018,21.0,ESS1e06_6,1.0,6.6,30.0,0.3397,0.500333305216815,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,77.0,2.0,0.0,8.0,6.0,1.0,1.0,,,,9211.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,22.0,ESS1e06_6,1.0,6.6,31.0,1.6987,1.57715009308462,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,3.0,0.0,10.0,1.0,1.0,52.0,,,,4132.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,23.0,ESS1e06_6,1.0,6.6,32.0,1.0192,1.50114720246387,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,78.0,2.0,0.0,8.0,6.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,24.0,ESS1e06_6,1.0,6.6,34.0,0.3397,0.500333305216815,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,78.0,2.0,0.0,9.0,6.0,1.0,75.0,,,,5131.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,25.0,ESS1e06_6,1.0,6.6,35.0,1.0192,1.26262103097329,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,60.0,3.0,0.0,12.0,6.0,2.0,93.0,,,,5141.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,26.0,ESS1e06_6,1.0,6.6,36.0,1.359,1.03354898748238,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,51.0,3.0,0.0,15.0,1.0,1.0,75.0,,,,1232.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,27.0,ESS1e06_6,1.0,6.6,37.0,0.7706,0.600958629200526,0.271487505538325,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,45.0,5.0,0.0,19.0,3.0,1.0,80.0,,,,2331.0,,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,28.0,ESS1e06_6,1.0,6.6,38.0,0.3853,0.317628529360997,0.271487505538325,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,77.0,2.0,0.0,8.0,6.0,1.0,65.0,,,,4212.0,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,29.0,ESS1e06_6,1.0,6.6,39.0,1.5411,1.43082710805481,0.271487505538325,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,31.0,3.0,0.0,11.0,1.0,1.0,64.0,,,,4115.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,30.0,ESS1e06_6,1.0,6.6,40.0,1.1558,1.44750449108405,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,21.0,3.0,0.0,14.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,31.0,ESS1e06_6,1.0,6.6,41.0,1.5411,3.46256152374655,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,25.0,2.0,0.0,9.0,8.0,1.0,31.0,,,,7210.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,32.0,ESS1e06_6,1.0,6.6,42.0,0.7706,0.586058020422316,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,51.0,3.0,0.0,12.0,1.0,1.0,17.0,,,,4121.0,,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,33.0,ESS1e06_6,1.0,6.6,43.0,0.3853,0.477323276328503,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,70.0,3.0,0.0,15.0,6.0,1.0,85.0,,,,3221.0,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
